Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.3%	94.756 ms	504	188.007 μs	185.958 μs	173.949 μs	235.121 μs	9.885 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	94.398 ms	504	187.297 μs	185.764 μs	174.507 μs	221.687 μs	9.522 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	91.005 ms	504	180.565 μs	67.130 μs	63.289 μs	56.269 ms	2.503 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.2%	73.632 ms	1	73.632 ms	73.632 ms	73.632 ms	73.632 ms	0 ns	PushPop	:{'Module': 'LlamaForCausalLM', 'input_ids': [[16]], 'positions': [[16]]}
0.2%	50.841 ms	504	100.875 μs	99.733 μs	86.139 μs	137.426 μs	8.741 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.embed_tokens', 'TrainableParams': {'weight': [128256, 2048]}, 'Inputs': [[100]]}
0.2%	46.909 ms	1	46.909 ms	46.909 ms	46.909 ms	46.909 ms	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.embed_tokens', 'TrainableParams': {'weight': [128256, 2048]}, 'Inputs': [[16]]}
0.1%	36.694 ms	504	72.805 μs	70.679 μs	66.242 μs	115.174 μs	6.187 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.797 ms	504	67.058 μs	64.402 μs	60.918 μs	449.487 μs	17.934 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.712 ms	504	66.887 μs	64.502 μs	60.673 μs	400.286 μs	15.991 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.703 ms	504	66.871 μs	65.068 μs	61.424 μs	100.329 μs	5.319 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.660 ms	504	66.784 μs	64.177 μs	60.392 μs	486.703 μs	19.510 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.545 ms	504	66.557 μs	64.316 μs	60.717 μs	278.068 μs	10.973 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.533 ms	504	66.533 μs	64.414 μs	60.624 μs	112.206 μs	6.307 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.428 ms	504	66.326 μs	64.136 μs	60.885 μs	168.919 μs	7.283 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.427 ms	504	66.323 μs	64.381 μs	60.670 μs	125.533 μs	6.068 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.366 ms	504	66.202 μs	64.552 μs	60.598 μs	91.103 μs	5.366 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.291 ms	504	66.054 μs	64.512 μs	61.080 μs	93.034 μs	5.209 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
0.1%	33.272 ms	504	66.015 μs	64.553 μs	60.941 μs	123.086 μs	5.374 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Inputs': [[100, 2048]]}
